QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
153 | KM-01 | KT0604 | Basic Lifting Concepts | Safety precautions | MCQ | Which action is unsafe during lifting operations? | Standing clear of the load | Inspecting slings before use | Walking under a suspended load | Using proper hand signals | Checking SWL | C | 1 | Remember
154 | KM-01 | KT0604 | Basic Lifting Concepts | Safety precautions | TF | No one should stand under a suspended load at any time. | True | False |  |  |  | A | 1 | Apply
155 | KM-01 | KT0604 | Basic Lifting Concepts | Safety precautions | MCQ | What must be done before using lifting equipment? | Paint it | Inspect it for damage | Increase its SWL | Shorten the sling | Remove labels | B | 1 | Understand
156 | KM-01 | KT0604 | Basic Lifting Concepts | Safety precautions | TF | Damaged slings must be removed from service immediately. | True | False |  |  |  | A | 1 | Remember
157 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | MCQ | Steel wire ropes are classified by: | Colour | Strand and wire count | Price | Length only | Manufacturer | B | 1 | Understand
158 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | TF | Wire ropes with broken strands must not be used. | True | False |  |  |  | A | 1 | Apply
159 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | MCQ | A shackle is used to: | Cut metal | Connect lifting components | Measure load weight | Store slings | Reduce friction | B | 1 | Remember
160 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | TF | Shackles must be tightened securely before lifting. | True | False |  |  |  | A | 1 | Apply
161 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | MCQ | The load centre of gravity must be: | Ignored | Directly under the hook | To the left of the hook | To the right of the hook | Behind the load | B | 1 | Apply
162 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | TF | An unbalanced load can swing dangerously during lifting. | True | False |  |  |  | A | 1 | Understand
163 | KM-01 | KT0604 | Basic Lifting Concepts | Safety precautions | MCQ | Hand signals during lifting must be: | Random | Standardized and clear | Whispered | Ignored | Improvised | B | 1 | Understand
164 | KM-01 | KT0604 | Basic Lifting Concepts | Safety precautions | TF | Only one person should give lifting signals to the operator. | True | False |  |  |  | A | 1 | Apply
165 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | MCQ | Which sling type is best for delicate surfaces? | Chain sling | Wire rope sling | Nylon webbing sling | Steel cable | Metal strap | C | 1 | Understand
166 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | TF | Nylon slings can be damaged by sharp edges. | True | False |  |  |  | A | 1 | Apply
167 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | MCQ | A lifting plan must include: | Weather forecast | Load weight and lifting method | Operator?s favourite tool | Workshop temperature | Lunch schedule | B | 1 | Understand
168 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | TF | A lifting plan helps prevent accidents. | True | False |  |  |  | A | 1 | Apply
169 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | MCQ | Sling angles less than 60¯: | Increase sling capacity | Reduce sling capacity | Have no effect | Make the load lighter | Make the load heavier | B | 1 | Apply
170 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | TF | The smaller the sling angle, the greater the stress on the sling. | True | False |  |  |  | A | 1 | Apply
171 | KM-01 | KT0701 | Screw Threads | Terminology | MCQ | What does the term ?pitch? refer to in screw threads? | Diameter of the thread | Distance between adjacent threads | Depth of the thread | Angle of the thread | Width of the crest | B | 1 | Remember
172 | KM-01 | KT0701 | Screw Threads | Terminology | TF | The root diameter is the smallest diameter of a screw thread. | True | False |  |  |  | A | 1 | Understand
173 | KM-01 | KT0701 | Screw Threads | Terminology | MCQ | The included angle of a standard metric V-thread is: | 30¯ | 45¯ | 60¯ | 90¯ | 120¯ | C | 1 | Remember
174 | KM-01 | KT0701 | Screw Threads | Terminology | TF | Lead is the distance a screw advances in one full turn. | True | False |  |  |  | A | 1 | Understand
175 | KM-01 | KT0702 | Screw Threads | Types | MCQ | Which thread type is commonly used for power transmission? | Metric V-thread | Square thread | Whitworth thread | Buttress thread | Fine thread | B | 1 | Understand
176 | KM-01 | KT0702 | Screw Threads | Types | TF | Acme threads are stronger and easier to machine than square threads. | True | False |  |  |  | A | 1 | Understand
177 | KM-01 | KT0702 | Screw Threads | Types | MCQ | Which thread type has a 29¯ included angle? | Square | Acme | Metric | Whitworth | Buttress | B | 1 | Remember
178 | KM-01 | KT0702 | Screw Threads | Types | TF | Buttress threads are designed to handle high axial loads in one direction. | True | False |  |  |  | A | 1 | Understand
179 | KM-01 | KT0703 | Screw Threads | Applications | MCQ | Which thread is commonly used for fastening applications? | Square thread | Acme thread | Metric V-thread | Buttress thread | Knuckle thread | C | 1 | Understand
180 | KM-01 | KT0703 | Screw Threads | Applications | TF | Square threads are ideal for lead screws in machines. | True | False |  |  |  | A | 1 | Understand
181 | KM-01 | KT0703 | Screw Threads | Applications | MCQ | Which thread type is used in bottle caps and light bulbs? | Square | Knuckle | Acme | Buttress | Whitworth | B | 1 | Remember
182 | KM-01 | KT0703 | Screw Threads | Applications | TF | Fine threads provide better resistance to vibration than coarse threads. | True | False |  |  |  | A | 1 | Understand
183 | KM-01 | KT0701 | Screw Threads | Terminology | MCQ | The helix angle of a thread depends on: | Thread colour | Thread pitch and diameter | Material hardness | Surface finish | Cutting speed | B | 1 | Understand
184 | KM-01 | KT0701 | Screw Threads | Terminology | TF | External threads are found on bolts, while internal threads are found in nuts. | True | False |  |  |  | A | 1 | Remember
185 | KM-01 | KT0704 | Screw Threads | Calculations | MCQ | If a single?start thread has a pitch of 2 mm, the lead is: | 1 mm | 2 mm | 4 mm | 6 mm | 8 mm | B | 1 | Apply
186 | KM-01 | KT0704 | Screw Threads | Calculations | TF | Lead equals pitch multiplied by the number of starts. | True | False |  |  |  | A | 1 | Understand
187 | KM-01 | KT0704 | Screw Threads | Calculations | MCQ | A double?start thread with a pitch of 3 mm has a lead of: | 3 mm | 6 mm | 9 mm | 12 mm | 1.5 mm | B | 1 | Apply
188 | KM-01 | KT0704 | Screw Threads | Calculations | TF | Multi?start threads allow faster linear movement per rotation. | True | False |  |  |  | A | 1 | Understand
189 | KM-01 | KT0702 | Screw Threads | Types | MCQ | Which thread form has a rounded crest and root? | Metric | Whitworth | Knuckle | Square | Acme | C | 1 | Remember
190 | KM-01 | KT0702 | Screw Threads | Types | TF | Whitworth threads use a 55¯ included angle. | True | False |  |  |  | A | 1 | Remember
191 | KM-01 | KT0703 | Screw Threads | Applications | MCQ | Which thread is best suited for high?load jacks and presses? | Metric | Square | Acme | Buttress | Knuckle | D | 1 | Apply
192 | KM-01 | KT0703 | Screw Threads | Applications | TF | Acme threads are commonly used in machine tool lead screws. | True | False |  |  |  | A | 1 | Understand
193 | KM-01 | KT0701 | Screw Threads | Terminology | MCQ | The crest of a thread is: | The bottom of the groove | The top of the thread | The side of the thread | The pitch diameter | The helix angle | B | 1 | Remember
194 | KM-01 | KT0701 | Screw Threads | Terminology | TF | The flank is the angled surface between the crest and root. | True | False |  |  |  | A | 1 | Remember
195 | KM-01 | KT0704 | Screw Threads | Calculations | MCQ | If a triple?start thread has a pitch of 2 mm, the lead is: | 2 mm | 4 mm | 6 mm | 8 mm | 10 mm | C | 1 | Apply
196 | KM-01 | KT0704 | Screw Threads | Calculations | TF | Increasing the number of thread starts increases the lead. | True | False |  |  |  | A | 1 | Understand
197 | KM-01 | KT0703 | Screw Threads | Applications | MCQ | Which thread type is best for shock?loaded applications? | Fine thread | Coarse thread | Square thread | Acme thread | Buttress thread | B | 1 | Understand
198 | KM-01 | KT0703 | Screw Threads | Applications | TF | Coarse threads are easier to assemble and less likely to strip. | True | False |  |  |  | A | 1 | Understand
199 | KM-01 | KT0702 | Screw Threads | Types | MCQ | Which thread type is used for quick?release mechanisms? | Square | Knuckle | Acme | Buttress | Metric | B | 1 | Understand
200 | KM-01 | KT0702 | Screw Threads | Types | TF | Knuckle threads are suitable for applications requiring frequent engagement and disengagement. | True | False |  |  |  | A | 1 | Apply
201 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | MCQ | Which fastener is used to prevent nuts from loosening due to vibration? | Spring washer | Plain washer | Rivet | Split pin | Circlip | A | 1 | Understand
202 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | TF | A split pin is used to secure a castle nut. | True | False |  |  |  | A | 1 | Remember
203 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | MCQ | Which device is used to prevent axial movement on a shaft? | Bolt | Nut | Circlip | Washer | Screw | C | 1 | Understand
204 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | TF | Circlips can be internal or external depending on the application. | True | False |  |  |  | A | 1 | Remember
205 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | MCQ | Which fastener is best suited for permanent joints? | Bolt | Nut | Rivet | Set screw | Washer | C | 1 | Understand
206 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | TF | Rivets are commonly used in sheet metal fabrication. | True | False |  |  |  | A | 1 | Understand
207 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | MCQ | A grub screw is used to: | Lock pulleys to shafts | Join plates | Secure nuts | Prevent corrosion | Measure torque | A | 1 | Apply
208 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | TF | A grub screw has no head and is tightened with an Allen key. | True | False |  |  |  | A | 1 | Remember
209 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | MCQ | Which fastener is used where frequent assembly and disassembly is required? | Rivet | Bolt and nut | Weld | Adhesive | Split pin | B | 1 | Understand
210 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | TF | Bolted joints allow easier maintenance than riveted joints. | True | False |  |  |  | A | 1 | Understand
211 | KM-01 | KT0803 | Locking Devices & Fasteners | Drawings | MCQ | Which symbol typically represents a countersunk screw? | ? | ? | ù | R | CSK | E | 1 | Remember
212 | KM-01 | KT0803 | Locking Devices & Fasteners | Drawings | TF | A hexagonal bolt head is shown as a hexagon in plan view. | True | False |  |  |  | A | 1 | Remember
213 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | MCQ | Which washer type distributes load over a larger area? | Spring washer | Plain washer | Lock nut | Split washer | Circlip | B | 1 | Understand
214 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | TF | Plain washers help prevent surface damage when tightening bolts. | True | False |  |  |  | A | 1 | Understand
215 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | MCQ | Which fastener prevents rotation of a shaft component? | Key | Washer | Rivet | Nut | Screw | A | 1 | Apply
216 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | TF | Keys are used to transmit torque between shafts and components. | True | False |  |  |  | A | 1 | Understand
